surrogate_key,sasdate,date_key,word_date,date,year,quarter,month,day_of_month,week,day_of_week,weekday,month_and_year,holiday,timezone_id,timezone,timezone_offset
0,21915,10120,"January 1, 2020",01/01/2020,2020,1,1,1,0,Wed,4,JAN1960,NEWYEAR,ETC/GMT+7,GMT-07:00,-25200
1,21916,10220,"January 2, 2020",01/02/2020,2020,1,1,2,0,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
2,21917,10320,"January 3, 2020",01/03/2020,2020,1,1,3,0,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
3,21918,10420,"January 4, 2020",01/04/2020,2020,1,1,4,0,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
4,21919,10520,"January 5, 2020",01/05/2020,2020,1,1,5,1,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
5,21920,10620,"January 6, 2020",01/06/2020,2020,1,1,6,1,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
6,21921,10720,"January 7, 2020",01/07/2020,2020,1,1,7,1,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
7,21922,10820,"January 8, 2020",01/08/2020,2020,1,1,8,1,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
8,21923,10920,"January 9, 2020",01/09/2020,2020,1,1,9,1,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
9,21924,11020,"January 10, 2020",01/10/2020,2020,1,1,10,1,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
10,21925,11120,"January 11, 2020",01/11/2020,2020,1,1,11,1,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
11,21926,11220,"January 12, 2020",01/12/2020,2020,1,1,12,2,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
12,21927,11320,"January 13, 2020",01/13/2020,2020,1,1,13,2,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
13,21928,11420,"January 14, 2020",01/14/2020,2020,1,1,14,2,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
14,21929,11520,"January 15, 2020",01/15/2020,2020,1,1,15,2,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
15,21930,11620,"January 16, 2020",01/16/2020,2020,1,1,16,2,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
16,21931,11720,"January 17, 2020",01/17/2020,2020,1,1,17,2,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
17,21932,11820,"January 18, 2020",01/18/2020,2020,1,1,18,2,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
18,21933,11920,"January 19, 2020",01/19/2020,2020,1,1,19,3,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
19,21934,12020,"January 20, 2020",01/20/2020,2020,1,1,20,3,Mon,2,JAN1960,MLK,ETC/GMT+7,GMT-07:00,-25200
20,21935,12120,"January 21, 2020",01/21/2020,2020,1,1,21,3,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
21,21936,12220,"January 22, 2020",01/22/2020,2020,1,1,22,3,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
22,21937,12320,"January 23, 2020",01/23/2020,2020,1,1,23,3,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
23,21938,12420,"January 24, 2020",01/24/2020,2020,1,1,24,3,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
24,21939,12520,"January 25, 2020",01/25/2020,2020,1,1,25,3,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
25,21940,12620,"January 26, 2020",01/26/2020,2020,1,1,26,4,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
26,21941,12720,"January 27, 2020",01/27/2020,2020,1,1,27,4,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
27,21942,12820,"January 28, 2020",01/28/2020,2020,1,1,28,4,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
28,21943,12920,"January 29, 2020",01/29/2020,2020,1,1,29,4,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
29,21944,13020,"January 30, 2020",01/30/2020,2020,1,1,30,4,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
30,21945,13120,"January 31, 2020",01/31/2020,2020,1,1,31,4,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
31,21946,20120,"February 1, 2020",02/01/2020,2020,1,2,1,4,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
32,21947,20220,"February 2, 2020",02/02/2020,2020,1,2,2,5,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
33,21948,20320,"February 3, 2020",02/03/2020,2020,1,2,3,5,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
34,21949,20420,"February 4, 2020",02/04/2020,2020,1,2,4,5,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
35,21950,20520,"February 5, 2020",02/05/2020,2020,1,2,5,5,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
36,21951,20620,"February 6, 2020",02/06/2020,2020,1,2,6,5,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
37,21952,20720,"February 7, 2020",02/07/2020,2020,1,2,7,5,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
38,21953,20820,"February 8, 2020",02/08/2020,2020,1,2,8,5,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
39,21954,20920,"February 9, 2020",02/09/2020,2020,1,2,9,6,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
40,21955,21020,"February 10, 2020",02/10/2020,2020,1,2,10,6,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
41,21956,21120,"February 11, 2020",02/11/2020,2020,1,2,11,6,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
42,21957,21220,"February 12, 2020",02/12/2020,2020,1,2,12,6,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
43,21958,21320,"February 13, 2020",02/13/2020,2020,1,2,13,6,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
44,21959,21420,"February 14, 2020",02/14/2020,2020,1,2,14,6,Fri,6,JAN1960,VALENTINES,ETC/GMT+7,GMT-07:00,-25200
45,21960,21520,"February 15, 2020",02/15/2020,2020,1,2,15,6,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
46,21961,21620,"February 16, 2020",02/16/2020,2020,1,2,16,7,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
47,21962,21720,"February 17, 2020",02/17/2020,2020,1,2,17,7,Mon,2,JAN1960,USPRESIDENTS,ETC/GMT+7,GMT-07:00,-25200
48,21963,21820,"February 18, 2020",02/18/2020,2020,1,2,18,7,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
49,21964,21920,"February 19, 2020",02/19/2020,2020,1,2,19,7,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
50,21965,22020,"February 20, 2020",02/20/2020,2020,1,2,20,7,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
51,21966,22120,"February 21, 2020",02/21/2020,2020,1,2,21,7,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
52,21967,22220,"February 22, 2020",02/22/2020,2020,1,2,22,7,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
53,21968,22320,"February 23, 2020",02/23/2020,2020,1,2,23,8,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
54,21969,22420,"February 24, 2020",02/24/2020,2020,1,2,24,8,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
55,21970,22520,"February 25, 2020",02/25/2020,2020,1,2,25,8,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
56,21971,22620,"February 26, 2020",02/26/2020,2020,1,2,26,8,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
57,21972,22720,"February 27, 2020",02/27/2020,2020,1,2,27,8,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
58,21973,22820,"February 28, 2020",02/28/2020,2020,1,2,28,8,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
59,21974,22920,"February 29, 2020",02/29/2020,2020,1,2,29,8,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
60,21975,30120,"March 1, 2020",03/01/2020,2020,1,3,1,9,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
61,21976,30220,"March 2, 2020",03/02/2020,2020,1,3,2,9,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
62,21977,30320,"March 3, 2020",03/03/2020,2020,1,3,3,9,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
63,21978,30420,"March 4, 2020",03/04/2020,2020,1,3,4,9,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
64,21979,30520,"March 5, 2020",03/05/2020,2020,1,3,5,9,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
65,21980,30620,"March 6, 2020",03/06/2020,2020,1,3,6,9,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
66,21981,30720,"March 7, 2020",03/07/2020,2020,1,3,7,9,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
67,21982,30820,"March 8, 2020",03/08/2020,2020,1,3,8,10,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
68,21983,30920,"March 9, 2020",03/09/2020,2020,1,3,9,10,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
69,21984,31020,"March 10, 2020",03/10/2020,2020,1,3,10,10,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
70,21985,31120,"March 11, 2020",03/11/2020,2020,1,3,11,10,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
71,21986,31220,"March 12, 2020",03/12/2020,2020,1,3,12,10,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
72,21987,31320,"March 13, 2020",03/13/2020,2020,1,3,13,10,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
73,21988,31420,"March 14, 2020",03/14/2020,2020,1,3,14,10,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
74,21989,31520,"March 15, 2020",03/15/2020,2020,1,3,15,11,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
75,21990,31620,"March 16, 2020",03/16/2020,2020,1,3,16,11,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
76,21991,31720,"March 17, 2020",03/17/2020,2020,1,3,17,11,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
77,21992,31820,"March 18, 2020",03/18/2020,2020,1,3,18,11,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
78,21993,31920,"March 19, 2020",03/19/2020,2020,1,3,19,11,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
79,21994,32020,"March 20, 2020",03/20/2020,2020,1,3,20,11,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
80,21995,32120,"March 21, 2020",03/21/2020,2020,1,3,21,11,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
81,21996,32220,"March 22, 2020",03/22/2020,2020,1,3,22,12,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
82,21997,32320,"March 23, 2020",03/23/2020,2020,1,3,23,12,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
83,21998,32420,"March 24, 2020",03/24/2020,2020,1,3,24,12,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
84,21999,32520,"March 25, 2020",03/25/2020,2020,1,3,25,12,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
85,22000,32620,"March 26, 2020",03/26/2020,2020,1,3,26,12,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
86,22001,32720,"March 27, 2020",03/27/2020,2020,1,3,27,12,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
87,22002,32820,"March 28, 2020",03/28/2020,2020,1,3,28,12,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
88,22003,32920,"March 29, 2020",03/29/2020,2020,1,3,29,13,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
89,22004,33020,"March 30, 2020",03/30/2020,2020,1,3,30,13,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
90,22005,33120,"March 31, 2020",03/31/2020,2020,1,3,31,13,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
91,22006,40120,"April 1, 2020",04/01/2020,2020,2,4,1,13,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
92,22007,40220,"April 2, 2020",04/02/2020,2020,2,4,2,13,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
93,22008,40320,"April 3, 2020",04/03/2020,2020,2,4,3,13,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
94,22009,40420,"April 4, 2020",04/04/2020,2020,2,4,4,13,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
95,22010,40520,"April 5, 2020",04/05/2020,2020,2,4,5,14,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
96,22011,40620,"April 6, 2020",04/06/2020,2020,2,4,6,14,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
97,22012,40720,"April 7, 2020",04/07/2020,2020,2,4,7,14,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
98,22013,40820,"April 8, 2020",04/08/2020,2020,2,4,8,14,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
99,22014,40920,"April 9, 2020",04/09/2020,2020,2,4,9,14,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
100,22015,41020,"April 10, 2020",04/10/2020,2020,2,4,10,14,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
101,22016,41120,"April 11, 2020",04/11/2020,2020,2,4,11,14,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
102,22017,41220,"April 12, 2020",04/12/2020,2020,2,4,12,15,Sun,1,JAN1960,EASTER,ETC/GMT+7,GMT-07:00,-25200
103,22018,41320,"April 13, 2020",04/13/2020,2020,2,4,13,15,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
104,22019,41420,"April 14, 2020",04/14/2020,2020,2,4,14,15,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
105,22020,41520,"April 15, 2020",04/15/2020,2020,2,4,15,15,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
106,22021,41620,"April 16, 2020",04/16/2020,2020,2,4,16,15,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
107,22022,41720,"April 17, 2020",04/17/2020,2020,2,4,17,15,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
108,22023,41820,"April 18, 2020",04/18/2020,2020,2,4,18,15,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
109,22024,41920,"April 19, 2020",04/19/2020,2020,2,4,19,16,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
110,22025,42020,"April 20, 2020",04/20/2020,2020,2,4,20,16,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
111,22026,42120,"April 21, 2020",04/21/2020,2020,2,4,21,16,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
112,22027,42220,"April 22, 2020",04/22/2020,2020,2,4,22,16,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
113,22028,42320,"April 23, 2020",04/23/2020,2020,2,4,23,16,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
114,22029,42420,"April 24, 2020",04/24/2020,2020,2,4,24,16,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
115,22030,42520,"April 25, 2020",04/25/2020,2020,2,4,25,16,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
